track,note,velocity,time
2,78,62,235
2,49,0,108
1,70,65,142
1,18,50,159
1,74,97,220
2,18,64,0
2,99,78,139
2,102,73,202
2,75,55,37
1,4,15,9
2,11,118,178
1,56,97,94
1,106,41,155
1,126,6,149
2,85,85,155
1,123,64,58
1,118,67,194
2,54,104,0
2,103,42,208
2,21,9,136
1,101,6,96
2,61,68,126
2,27,122,8
1,22,61,86
1,126,103,84
2,41,54,193
2,0,11,0
1,114,19,239
2,67,80,58
1,23,33,172
2,65,73,186
2,72,68,163
2,23,45,224
2,39,71,172
1,30,112,146
1,33,125,4
1,107,1,95
2,91,118,4
2,0,116,80
2,57,57,140
2,41,82,29
1,38,43,31
2,99,75,14
2,24,47,236
1,67,44,100
2,26,25,194
2,126,126,119
1,75,95,231
2,100,9,49
1,49,102,158
1,63,73,235
2,108,23,157
2,124,104,46
2,93,93,146
1,91,31,158
1,90,0,165
1,43,36,190
1,14,16,224
2,14,87,60
2,6,33,231
2,0,34,3
1,89,0,227
1,38,25,88
1,4,116,93
1,0,66,143
2,126,0,168
1,106,29,110
2,82,68,225
1,69,107,193
2,40,0,36
2,31,0,0
1,44,126,147
2,113,86,132
2,65,28,155
2,18,47,98
1,102,109,44
2,16,32,57
2,17,108,162
2,88,92,71
1,78,14,220
1,35,46,198
2,5,97,190
1,37,37,102
1,111,3,23
1,20,32,82
1,118,108,79
2,69,51,22
1,126,58,147
2,46,63,1
1,27,126,163
2,109,8,22
2,93,112,191
2,125,15,126
2,46,9,46
2,78,11,182
2,67,107,195
2,41,80,142
1,76,126,29
2,89,33,99
1,21,124,188
2,12,12,115
2,93,7,87
1,56,72,0
2,7,126,102
2,38,72,2
2,125,15,239
1,103,16,80
2,126,10,160
2,121,96,154
1,12,97,157
1,21,93,183
2,91,12,16
1,63,14,138
2,80,109,169
1,6,60,226
1,103,61,88
2,104,25,137
2,32,39,138
2,15,23,81
1,105,65,63
1,34,126,148
1,32,81,65
1,38,13,126
1,77,123,0
2,4,32,195
1,126,10,102
2,109,107,163
1,70,26,80
1,73,96,76
2,89,13,2
1,56,82,119
1,68,126,0
1,107,32,150
1,0,52,177
1,75,80,85
1,100,53,100
2,74,18,177
2,65,45,90
2,107,52,200
2,74,101,108
2,73,20,190
1,25,33,168
1,74,19,11
1,113,30,78
2,28,29,218
2,65,83,229
1,124,11,59
2,45,113,89
1,9,84,90
2,57,35,105
2,0,65,189
2,101,54,14
2,6,53,106
1,50,79,202
2,99,79,237
1,126,80,197
2,41,64,13
2,0,95,24
1,7,17,149
1,23,118,176
2,11,49,0
2,58,22,116
1,20,94,198
2,109,87,30
1,39,87,150
2,118,122,180
1,0,79,235
