track,note,velocity,time
1,66,117,1187
1,106,19,894
1,78,110,373
1,77,5,246
1,81,32,8
1,65,76,557
1,124,82,744
1,70,105,923
1,54,32,1061
1,86,51,984
1,56,48,1139
1,43,107,1082
1,97,46,272
1,47,121,294
1,88,95,700
1,22,35,241
1,13,101,231
1,14,83,414
1,19,77,716
1,93,49,329
1,14,52,790
1,88,68,966
1,26,93,1063
1,38,107,153
1,114,92,330
1,127,68,600
1,84,26,279
1,42,64,1080
1,98,102,356
1,51,121,480
1,67,102,1042
1,121,111,711
1,7,53,119
1,10,84,851
1,82,61,374
1,18,109,170
1,35,39,1026
1,123,76,109
1,17,48,904
1,1,83,610
1,110,108,17
1,50,102,526
1,126,4,1022
1,56,1,395
1,110,47,701
1,64,17,250
1,109,112,550
1,117,51,119
1,126,121,1002
1,34,4,778
1,111,61,3
1,61,14,305
1,2,88,749
1,40,58,746
1,19,68,19
1,85,69,141
1,33,55,1198
1,53,22,235
1,45,80,1031
1,53,58,372
1,74,28,785
1,97,69,726
1,76,60,766
1,84,125,109
1,7,59,529
1,65,63,91
1,63,10,736
1,126,109,560
1,70,6,289
1,39,9,653
1,125,10,743
1,118,42,388
1,23,117,380
1,73,70,814
1,92,6,575
1,123,40,563
1,127,7,425
1,42,3,216
1,46,107,601
1,51,71,870
1,8,125,795
1,78,106,334
1,1,95,998
1,101,69,1113
1,26,112,36
1,9,85,250
1,7,6,990
1,24,65,661
1,41,94,948
1,72,50,937
1,20,19,981
1,8,82,228
1,104,34,787
1,67,106,559
1,10,115,430
1,18,99,827
1,33,40,721
1,36,74,130
1,122,26,347
1,93,63,916
1,93,10,212
1,117,96,38
1,52,126,673
1,25,102,1137
1,54,126,323
1,82,34,612
1,70,116,1061
1,124,26,985
1,81,84,790
1,93,47,863
1,37,12,126
1,92,6,359
1,4,40,1000
1,90,8,1094
1,122,23,1199
1,54,33,1098
1,21,76,706
1,89,97,588
1,35,7,862
1,75,64,1027
1,43,84,590
1,67,81,790
1,50,76,180
1,58,6,27
1,110,94,908
1,87,27,1119
1,8,27,654
1,108,68,161
1,25,84,622
1,123,112,500
1,62,102,177
1,48,117,440
1,39,112,562
1,10,7,312
1,78,98,856
1,92,96,988
1,52,109,282
1,29,17,664
1,6,81,36
1,18,112,753
1,47,27,210
1,40,126,296
1,36,102,483
1,60,66,76
1,9,126,1103
1,105,92,652
1,57,117,941
1,31,37,772
1,64,33,553
1,116,124,63
