track,note,velocity,time
1,38,91,1200
1,33,91,0
1,38,103,0
1,40,103,1008
1,42,119,726
1,37,119,1200
1,42,119,0
1,40,111,0
1,38,115,1110
1,33,99,0
1,38,107,1064
1,38,123,61
1,33,107,0
1,40,99,736
1,45,103,374
1,37,127,23
1,38,91,0
1,33,91,0
1,38,103,914
1,40,103,0
1,42,119,0
1,37,119,409
1,42,119,652
1,40,111,937
1,38,115,0
1,33,99,323
1,38,107,0
1,38,123,0
1,33,107,0
1,40,99,0
1,45,103,139
1,37,127,0
1,38,91,0
1,33,91,349
1,38,103,1074
1,40,103,0
1,42,119,809
1,37,119,284
1,42,119,320
1,40,111,222
1,38,115,0
1,33,99,0
1,38,107,672
1,38,123,0
1,33,107,0
1,40,99,613
1,45,103,0
1,33,103,1130
1,28,91,0
1,33,91,0
1,33,91,0
1,35,91,557
1,37,107,0
1,38,95,1045
1,45,87,370
1,33,95,187
1,38,95,1104
1,45,95,0
1,35,87,0
1,35,95,0
1,42,95,595
1,42,111,0
1,37,103,0
1,37,107,0
1,38,103,866
1,45,83,931
1,52,55,891
1,33,87,0
1,40,79,768
1,45,79,697
1,44,99,1200
1,42,95,656
1,37,95,1162
1,42,87,0
1,40,95,610
1,38,91,1200
1,33,87,0
1,38,87,0
1,38,83,8
1,33,95,901
1,40,87,1200
1,45,83,702
1,33,103,748
1,28,91,0
1,33,91,0
1,33,91,0
1,35,91,0
1,37,107,799
1,38,95,0
1,45,87,729
1,33,95,0
1,38,95,0
1,45,95,250
1,35,87,0
1,35,95,0
1,42,95,1063
1,42,111,0
1,37,103,0
1,37,107,0
1,38,103,382
1,45,83,0
1,52,55,731
1,45,95,1161
1,40,95,246
1,41,91,0
1,43,75,0
1,38,83,0
1,39,91,699
1,41,91,0
1,43,71,0
1,38,87,271
1,31,99,496
1,48,99,931
1,43,99,0
1,44,99,997
1,46,83,0
1,41,95,0
1,43,95,1187
1,45,83,0
1,40,79,717
1,33,95,0
1,38,91,0
1,45,83,0
1,33,95,0
1,38,91,0
1,45,87,993
1,38,51,913
1,40,83,47
1,42,95,0
1,45,83,1005
1,47,87,18
1,49,91,393
1,42,95,78
1,49,99,0
1,37,103,0
1,42,99,1200
1,49,95,1200
1,40,83,0
1,38,95,0
1,45,83,0
1,33,95,0
1,38,95,0
1,45,91,893
1,38,95,1200
1,33,99,0
1,40,95,811
1,45,95,0
1,33,99,215
1,33,103,0
1,28,91,424
1,33,91,715
1,33,91,762
1,35,91,142
1,37,107,681
1,38,95,0
1,45,87,0
1,33,95,278
1,38,95,0
1,45,95,0
1,35,87,660
1,35,95,471
1,42,95,0
1,42,111,415
1,37,103,0
1,37,107,0
1,38,103,571
1,45,83,1125
1,52,55,846
1,38,91,1138
1,45,87,76
1,33,83,52
1,38,91,810
1,45,91,0
1,45,71,0
1,38,79,585
1,45,83,784
1,45,91,311
1,38,75,1200
2,57,123,1200
2,56,111,0
2,52,95,832
2,57,127,1149
2,56,127,1024
2,52,107,0
2,57,127,0
2,54,119,0
2,52,107,0
2,57,123,0
2,54,123,0
2,52,111,461
2,57,127,394
2,56,123,938
2,52,103,0
2,57,127,1164
2,56,119,645
2,52,111,52
2,57,127,0
2,54,123,0
2,52,107,0
2,57,127,0
2,54,127,0
2,52,115,604
2,57,127,0
2,56,127,675
2,52,111,345
2,57,127,0
2,56,127,61
2,52,119,754
2,59,127,0
2,57,127,580
2,52,115,637
2,59,127,0
2,57,123,328
2,52,111,0
2,57,127,434
2,56,127,1154
2,52,115,1148
2,57,127,586
2,56,127,877
2,52,119,812
2,59,127,1200
2,57,127,169
2,52,115,1200
2,59,127,0
2,57,119,0
2,52,119,802
2,59,127,0
2,56,127,0
2,52,115,0
2,59,127,0
2,56,127,0
2,52,123,0
2,61,127,746
2,57,119,1189
2,52,115,999
2,61,127,534
2,57,119,870
2,52,111,57
2,59,127,0
2,56,127,364
2,52,119,0
2,59,127,883
2,56,127,0
2,52,119,0
2,61,127,0
2,57,123,114
2,52,107,0
2,61,127,151
2,57,111,0
2,52,107,889
2,59,127,1062
2,56,127,229
2,52,115,0
2,59,127,563
2,56,127,976
2,52,119,318
2,61,127,1106
2,57,119,0
2,52,107,303
2,61,127,1027
2,57,111,0
2,52,107,772
2,59,123,0
2,56,127,0
2,52,115,0
2,59,127,1164
2,56,127,242
2,52,119,0
2,61,127,506
2,57,111,672
2,52,107,961
2,61,127,0
2,57,99,0
2,52,107,992
2,57,123,0
2,56,111,0
2,52,95,122
2,57,127,0
2,56,127,0
2,52,107,213
2,57,127,0
2,54,119,0
2,52,107,0
2,57,123,998
2,54,123,0
2,52,111,0
2,57,127,0
2,56,123,0
2,52,103,0
2,57,127,0
2,56,119,0
2,52,111,0
2,57,127,142
2,54,123,490
2,52,107,84
2,57,127,0
2,54,127,0
2,52,115,0
2,57,127,0
2,56,127,0
2,52,111,0
2,57,127,889
2,56,127,0
2,52,119,415
2,59,127,1162
2,57,127,1200
2,52,115,839
2,59,127,0
2,57,123,655
2,52,111,1200
2,57,127,111
2,56,127,494
2,52,115,0
2,57,127,0
2,56,127,0
2,52,119,418
2,59,127,727
2,57,127,1200
2,52,115,1200
2,59,127,1064
2,57,119,0
2,52,119,0
2,59,127,865
2,56,127,0
2,52,115,463
2,59,127,0
2,56,127,0
2,52,123,0
2,61,127,0
2,57,119,1030
2,52,115,381
2,61,127,414
2,57,119,0
2,52,111,725
2,59,127,0
2,56,127,351
2,52,119,756
2,59,127,374
2,56,127,283
2,52,119,1064
2,61,127,0
2,57,123,0
2,52,107,0
2,61,127,230
2,57,111,51
2,52,107,0
2,59,127,501
2,56,127,0
2,52,115,766
2,59,127,0
2,56,127,265
2,52,119,0
2,61,127,848
2,57,119,0
2,52,107,312
2,61,127,0
2,57,111,1078
2,52,107,707
2,59,123,0
2,56,127,0
2,52,115,0
2,59,127,0
2,56,127,1200
2,52,119,720
2,61,127,0
2,57,111,453
2,52,107,127
2,61,127,0
2,57,99,0
2,52,107,781
2,57,123,0
2,56,111,144
2,52,95,0
2,57,127,428
2,56,127,942
2,52,107,132
2,57,127,1066
2,54,119,0
2,52,107,65
2,57,123,248
2,54,123,36
2,52,111,0
2,57,127,767
2,56,123,926
2,52,103,0
2,57,127,0
2,56,119,857
