track,note,velocity,time
1,67,37,19
1,69,40,41
1,67,0,5
1,71,47,56
1,69,0,1
1,69,45,13
1,71,0,1
1,71,40,53
1,69,0,27
1,74,45,31
1,71,0,2
1,71,49,1
1,74,0,3
1,67,40,20
1,71,0,2
1,69,47,115
1,67,0,6
1,67,49,179
1,69,0,5
1,66,52,33
1,67,0,1
1,69,48,60
1,66,0,3
1,69,0,55
1,62,49,2
1,62,0,8
1,64,43,41
1,66,48,57
1,64,0,6
1,67,49,53
1,66,0,3
1,71,51,119
1,67,0,4
1,67,40,118
1,71,0,2
1,69,43,118
1,67,0,4
1,67,46,176
1,69,0,2
1,66,45,58
1,67,0,2
1,62,39,86
1,66,0,7
1,62,0,5
1,67,41,12
1,69,43,61
1,67,0,5
1,71,46,55
1,69,0,4
1,69,38,182
1,71,0,2
1,71,42,30
1,69,0,7
1,74,50,51
1,71,0,3
1,71,50,115
1,74,0,2
1,67,40,116
1,71,0,1
1,67,0,121
1,69,55,0
1,66,47,178
1,69,0,2
1,69,46,32
1,66,0,6
1,74,42,53
1,69,0,3
1,69,46,23
1,74,0,7
1,69,0,26
1,62,52,0
1,62,0,8
1,64,45,60
1,66,50,40
1,64,0,5
1,66,0,53
1,67,44,0
1,71,51,126
1,67,0,3
1,71,0,119
1,67,41,1
1,69,47,118
1,67,0,5
1,69,0,71
1,74,38,2
1,75,45,90
1,74,0,2
1,75,0,116
1,66,45,42
1,66,0,105
1,67,47,3
1,71,54,60
1,67,0,4
1,67,47,116
1,71,0,2
1,67,0,118
1,74,47,0
1,72,44,59
1,74,0,3
1,71,53,57
1,72,0,2
1,71,0,30
1,67,49,6
1,60,47,19
1,67,0,4
1,67,47,116
1,60,0,3
1,67,0,117
1,69,49,0
1,71,53,9
1,69,0,2
1,72,53,58
1,71,0,2
1,74,48,58
1,72,0,1
1,71,56,38
1,74,0,12
1,71,0,103
1,67,52,2
1,67,0,16
1,67,51,18
1,69,47,35
1,67,0,2
1,71,56,58
1,69,0,3
1,72,56,237
1,71,0,3
1,69,52,117
1,72,0,2
1,69,0,43
1,67,49,1
1,71,48,103
1,67,0,7
1,67,51,1
1,71,0,1
1,74,56,57
1,67,0,1
1,72,55,26
1,74,0,2
1,71,48,43
1,72,0,1
1,67,54,59
1,71,0,2
1,60,51,54
1,67,0,2
1,67,50,178
1,60,0,3
1,69,54,57
1,67,0,2
1,69,0,188
1,71,49,2
1,75,49,240
1,71,0,16
1,76,50,101
1,75,0,4
1,72,49,239
1,76,0,11
1,72,0,109
1,74,53,0
1,74,0,67
1,67,36,25
1,69,46,54
1,67,0,6
1,71,54,52
1,69,0,3
1,71,0,14
1,69,45,7
1,71,48,30
1,69,0,5
1,71,0,55
1,74,48,0
1,71,54,120
1,74,0,1
1,67,51,115
1,71,0,4
1,69,56,116
1,67,0,2
1,67,46,15
1,69,0,9
1,67,0,32
1,66,49,1
1,66,0,59
1,69,47,1
1,69,0,59
1,62,52,1
1,62,0,28
1,64,49,41
1,66,52,60
1,64,0,3
1,67,43,57
1,66,0,4
1,71,52,116
1,67,0,7
1,67,49,113
1,71,0,3
1,69,57,117
1,67,0,2
1,67,52,118
1,69,0,2
1,66,52,118
1,67,0,4
1,62,54,86
1,66,0,5
1,62,0,87
1,67,41,1
1,67,0,59
1,69,43,1
1,71,48,60
1,69,0,2
1,69,46,26
1,71,0,6
1,69,0,20
1,71,47,1
1,74,56,60
1,71,0,7
1,71,48,2
1,74,0,10
1,67,47,110
1,71,0,3
1,69,56,117
1,67,0,3
1,66,50,12
1,69,0,6
1,66,0,54
1,69,45,0
1,74,46,60
1,69,0,6
1,69,47,24
1,74,0,4
1,69,0,24
1,62,57,2
1,62,0,2
1,64,51,36
1,66,47,60
1,64,0,3
1,66,0,53
1,67,46,4
1,71,57,120
1,67,0,8
1,67,47,2
1,71,0,2
1,67,0,82
1,69,53,0
1,74,57,55
1,69,0,2
1,74,0,4
1,66,49,112
1,66,0,116
1,67,47,4
1,71,57,120
1,67,0,6
1,67,45,114
1,71,0,2
1,69,60,118
1,67,0,2
1,67,47,79
1,69,0,8
1,66,43,52
1,67,0,12
1,62,57,78
1,66,0,6
1,62,0,38
2,67,80,360
2,67,0,177
2,69,73,3
2,67,81,60
2,69,0,3
2,67,0,52
2,62,77,5
2,60,85,60
2,62,0,6
2,60,0,173
2,64,85,1
2,64,0,58
2,67,100,2
2,67,0,54
2,64,85,6
2,64,0,60
2,65,92,0
2,65,0,357
2,62,87,3
2,62,0,348
2,55,80,12
2,55,0,220
2,67,78,5
2,69,86,60
2,67,0,3
2,71,83,57
2,69,0,4
2,69,85,176
2,71,0,4
2,71,94,56
2,69,0,4
2,71,0,55
2,74,94,1
2,76,104,60
2,74,0,3
2,71,91,117
2,76,0,11
2,67,73,109
2,71,0,3
2,69,84,117
2,67,0,4
2,67,85,176
2,69,0,3
2,66,87,57
2,67,0,3
2,66,0,55
2,69,91,2
2,69,0,57
2,62,97,3
2,62,0,188
2,64,91,52
2,66,77,60
2,64,0,4
2,67,92,56
2,66,0,1
2,71,88,119
2,67,0,4
2,71,0,113
2,67,80,3
2,69,94,120
2,67,0,2
2,67,85,178
2,69,0,4
2,67,0,56
2,66,89,0
2,64,83,120
2,66,0,2
2,64,0,177
2,67,79,421
2,69,83,60
2,67,0,2
2,71,86,58
2,69,0,4
2,69,76,176
2,71,0,5
2,71,86,55
2,69,0,8
2,74,88,52
2,71,0,5
2,76,94,55
2,74,0,4
2,71,85,116
2,76,0,16
2,71,0,99
2,67,85,5
2,67,0,118
2,69,98,2
2,66,87,180
2,69,0,14
2,69,87,46
2,66,0,4
2,74,90,56
2,69,0,1
2,69,85,29
2,74,0,8
2,62,95,22
2,69,0,2
2,62,0,163
2,64,87,75
2,66,91,60
2,64,0,1
2,67,87,59
2,66,0,2
2,71,92,118
2,67,0,4
2,71,0,114
2,67,83,2
2,69,87,120
2,67,0,3
2,74,88,237
2,69,0,13
2,75,70,77
2,74,0,3
2,75,0,18
2,76,88,9
2,76,0,183
2,67,83,0
2,67,0,60
2,69,81,0
2,71,83,60
2,69,0,4
2,69,81,176
2,71,0,4
2,71,86,56
2,69,0,4
2,74,81,56
2,71,0,6
2,74,0,53
2,76,97,1
2,71,90,120
2,76,0,4
2,67,77,116
2,71,0,9
2,69,87,111
2,67,0,3
2,67,76,177
2,69,0,4
2,66,78,56
2,67,0,6
2,69,84,54
2,66,0,1
2,69,0,55
2,62,80,4
2,62,0,134
2,64,81,106
2,66,82,60
2,64,0,2
2,67,74,58
2,66,0,1
2,71,85,119
2,67,0,8
2,71,0,111
2,67,73,1
2,69,76,120
2,67,0,2
2,69,0,112
2,67,77,6
2,66,70,120
2,67,0,16
2,66,0,101
2,64,88,3
2,64,0,150
2,67,88,450
2,67,0,58
2,69,85,2
2,71,84,60
2,69,0,3
2,69,77,177
2,71,0,1
2,71,77,59
2,69,0,8
2,74,71,52
2,71,0,2
2,76,95,58
2,74,0,2
2,71,86,118
2,76,0,17
2,71,0,96
2,67,81,7
2,67,0,119
2,69,78,1
2,66,63,180
2,69,0,14
2,69,70,46
2,66,0,10
2,69,0,49
2,74,84,1
2,69,74,30
2,74,0,5
2,62,93,25
2,69,0,5
2,62,0,127
2,64,84,108
2,66,81,60
2,64,0,5
2,66,0,54
2,67,87,1
2,71,85,120
2,67,0,4
2,71,0,112
2,67,85,4
2,69,75,120
2,67,0,4
2,74,76,236
2,69,0,4
2,75,68,86
2,74,0,4
2,76,72,26
2,75,0,2
2,76,0,268
2,66,75,330
2,66,0,113
2,67,90,7
2,71,86,120
2,67,0,5
2,71,0,110
2,67,81,5
2,69,80,120
2,67,0,3
2,67,75,117
2,69,0,13
2,67,0,107
2,66,73,0
2,66,0,114
2,64,85,6
2,64,0,293
3,43,60,360
3,50,43,49
3,43,0,11
3,50,0,49
3,55,59,0
3,59,67,60
3,55,0,2
3,59,0,51
3,55,54,7
3,50,43,60
3,55,0,2
3,50,0,12
3,36,75,46
3,43,68,23
3,36,0,20
3,43,0,31
3,48,64,9
3,48,0,60
3,52,73,0
3,48,63,60
3,52,0,2
3,48,0,30
3,43,80,28
3,43,0,13
3,41,81,47
3,48,62,9
3,41,0,35
3,48,0,21
3,53,65,4
3,57,53,60
3,53,0,8
3,57,0,43
3,53,49,9
3,48,52,60
3,48,0,9
3,53,0,25
3,38,64,5
3,45,61,19
3,38,0,35
3,45,0,23
3,50,64,2
3,54,67,60
3,50,0,8
3,54,0,44
3,50,55,8
3,45,68,60
3,50,0,2
3,45,0,12
3,43,77,46
3,50,59,15
3,43,0,38
3,50,0,19
3,55,59,3
3,59,59,60
3,55,0,11
3,59,0,46
3,55,65,3
3,50,66,60
3,55,0,8
3,50,0,29
3,40,81,23
3,47,56,8
3,40,0,38
3,47,0,17
3,52,60,5
3,55,68,60
3,52,0,11
3,55,0,40
3,52,56,9
3,38,76,60
3,52,0,3
3,38,0,12
3,36,80,8
3,43,64,37
3,36,0,38
3,43,0,16
3,48,69,6
3,52,73,60
3,48,0,6
3,55,68,54
3,52,0,9
3,55,0,41
3,52,69,10
3,52,0,9
3,38,87,19
3,45,70,31
3,38,0,38
3,50,74,22
3,45,0,2
3,54,61,58
3,50,0,6
3,54,0,48
3,50,62,6
3,45,60,60
3,50,0,2
3,45,0,57
3,47,78,1
3,54,68,24
3,47,0,39
3,54,0,18
3,59,68,3
3,62,53,60
3,59,0,2
3,62,0,58
3,59,50,0
3,54,64,60
3,59,0,5
3,36,68,2
3,54,0,2
3,43,66,30
3,36,0,28
3,43,0,27
3,48,65,5
3,52,73,60
3,48,0,2
3,55,64,58
3,52,0,2
3,55,0,50
3,52,68,8
3,52,0,16
3,38,73,2
3,45,64,41
3,38,0,34
3,50,65,26
3,45,0,1
3,54,71,59
3,50,0,12
3,54,0,46
3,50,65,2
3,45,66,60
3,45,0,15
3,50,0,3
3,40,72,3
3,47,61,28
3,40,0,37
3,47,0,20
3,52,56,3
3,55,67,60
3,52,0,7
3,55,0,51
3,52,56,2
3,47,61,60
3,52,0,9
3,40,62,10
3,47,0,4
3,47,66,27
3,40,0,34
3,47,0,24
3,52,63,2
3,55,67,60
3,52,0,9
3,55,0,40
3,52,53,11
3,47,61,60
3,52,0,2
3,47,0,11
3,40,73,2
3,47,57,46
3,40,0,38
3,52,62,22
3,47,0,4
3,55,66,56
3,52,0,2
3,52,58,58
3,55,0,1
3,38,77,59
3,52,0,16
3,38,0,11
3,36,72,2
3,43,68,44
3,36,0,38
3,43,0,11
3,48,62,11
3,52,77,60
3,48,0,6
3,55,60,54
3,52,0,9
3,55,0,39
3,52,70,12
3,52,0,7
3,38,68,13
3,45,47,42
3,38,0,38
3,45,0,18
3,50,60,4
3,54,54,60
3,50,0,7
3,54,0,49
3,50,44,4
3,45,72,60
3,50,0,2
3,45,0,8
3,47,81,3
3,54,66,30
3,47,0,38
3,54,0,20
3,59,62,2
3,62,70,60
3,59,0,2
3,59,56,58
3,62,0,2
3,54,67,58
3,59,0,10
3,54,0,5
3,36,88,2
3,43,70,40
3,36,0,38
3,43,0,18
3,48,68,4
3,52,72,60
3,48,0,2
3,55,69,58
3,52,0,4
3,55,0,55
3,52,70,1
3,52,0,58
3,38,81,2
3,45,60,27
3,38,0,38
3,45,0,20
3,50,60,2
3,54,58,60
3,50,0,5
3,54,0,51
3,50,60,4
3,50,0,58
3,45,66,2
3,45,0,14
3,40,68,6
3,47,56,39
3,40,0,33
3,47,0,23
3,52,58,4
3,56,82,60
3,52,0,7
3,56,0,50
3,52,59,3
3,47,68,60
3,52,0,4
3,40,79,19
3,47,0,9
3,40,0,51
3,47,56,0
